name,link,year_from,year_to,college,active
Lucas Nogueira,/players/n/noguelu01.html,2015,2018,,true
Jeff Nordgaard,/players/n/nordgje01.html,1998,1998,University of Wisconsin-Green Bay,false
Connie Norman,/players/n/normaco01.html,1975,1979,University of Arizona,false
Ken Norman,/players/n/normake01.html,1988,1997,University of Illinois at Urbana-Champaign,false
Audie Norris,/players/n/norriau01.html,1983,1985,Jackson State University,false
Moochie Norris,/players/n/norrimo01.html,1997,2006,"Auburn University, University of West Florida",false
Sylvester Norris,/players/n/norrisy01.html,1980,1980,Jackson State University,false
Willie Norwood,/players/n/norwowi01.html,1972,1978,Alcorn State University,false
Steve Novak,/players/n/novakst01.html,2007,2017,Marquette University,false
Dirk Nowitzki,/players/n/nowitdi01.html,1999,2018,,true
Frank Ntilikina,/players/n/ntilila01.html,2018,2018,,true
James Nunnally,/players/n/nunnaja01.html,2014,2014,"University of California, Santa Barbara",false
Jusuf Nurkic,/players/n/nurkiju01.html,2015,2018,,true
Dennis Nutt,/players/n/nuttde01.html,1987,1987,Texas Christian University,false
David Nwaba,/players/n/nwabada01.html,2017,2018,"California Polytechnic State University, San Luis Obispo",true
Julius Nwosu,/players/n/nwosuju01.html,1995,1995,Liberty University,false
Charles O'Bannon,/players/o/obannch01.html,1998,1999,"University of California, Los Angeles",false
Ed O'Bannon,/players/o/obanned01.html,1996,1997,"University of California, Los Angeles",false
J.J. O'Brien,/players/o/obriejj01.html,2016,2016,San Diego State University,false
Johnny O'Bryant,/players/o/obryajo01.html,2015,2018,Louisiana State University,true
Patrick O'Bryant,/players/o/obryapa01.html,2007,2010,Bradley University,false
Mike O'Koren,/players/o/okoremi01.html,1981,1988,University of North Carolina,false
Jermaine O'Neal,/players/o/onealje01.html,1997,2014,,false
Shaquille O'Neal,/players/o/onealsh01.html,1993,2011,Louisiana State University,false
Royce O'Neale,/players/o/onealro01.html,2018,2018,Baylor University,true
Kyle O'Quinn,/players/o/oquinky01.html,2013,2018,Norfolk State University,true
Dan O'Sullivan,/players/o/osullda01.html,1991,1996,Fordham University,false
Charles Oakley,/players/o/oaklech01.html,1986,2004,Virginia Union University,false
Fabricio Oberto,/players/o/obertfa01.html,2006,2011,,false
Daniel Ochefu,/players/o/ochefda01.html,2017,2017,Villanova University,true
Greg Oden,/players/o/odengr01.html,2009,2014,Ohio State University,false
Lamar Odom,/players/o/odomla01.html,2000,2013,University of Rhode Island,false
Alan Ogg,/players/o/oggal01.html,1991,1993,University of Alabama at Birmingham,false
Tim Ohlbrecht,/players/o/ohlbrti01.html,2013,2013,,false
Semi Ojeleye,/players/o/ojelese01.html,2018,2018,Southern Methodist University,true
Emeka Okafor,/players/o/okafoem01.html,2005,2018,University of Connecticut,true
Jahlil Okafor,/players/o/okafoja01.html,2016,2018,Duke University,true
Mehmet Okur,/players/o/okurme01.html,2003,2012,,false
Victor Oladipo,/players/o/oladivi01.html,2014,2018,Indiana University,true
Hakeem Olajuwon,/players/o/olajuha01.html,1985,2002,University of Houston,false
Mark Olberding,/players/o/olberma01.html,1976,1987,University of Minnesota,false
Jawann Oldham,/players/o/oldhaja01.html,1981,1991,Seattle University,false
Frank Oleynick,/players/o/oleynfr01.html,1976,1977,Seattle University,false
John Olive,/players/o/olivejo01.html,1979,1980,Villanova University,false
Brian Oliver,/players/o/olivebr01.html,1991,1998,Georgia Institute of Technology,false
Dean Oliver,/players/o/olivede01.html,2002,2003,University of Iowa,false
Jimmy Oliver,/players/o/oliveji01.html,1992,1999,Purdue University,false
Kevin Ollie,/players/o/ollieke01.html,1998,2010,University of Connecticut,false
Michael Olowokandi,/players/o/olowomi01.html,1999,2007,University of the Pacific,false
Kelly Olynyk,/players/o/olynyke01.html,2014,2018,Gonzaga University,true
Arinze Onuaku,/players/o/onuakar01.html,2014,2017,Syracuse University,true
Chinanu Onuaku,/players/o/onuakch01.html,2017,2017,University of Louisville,true
Louis Orr,/players/o/orrlo01.html,1981,1988,Syracuse University,false
Jose Ortiz,/players/o/ortizjo01.html,1989,1990,Oregon State University,false
Daniel Orton,/players/o/ortonda01.html,2012,2014,University of Kentucky,false
Cedi Osman,/players/o/osmande01.html,2018,2018,,true
Greg Ostertag,/players/o/ostergr01.html,1996,2006,University of Kansas,false
Matt Othick,/players/o/othicma01.html,1993,1993,University of Arizona,false
Kelly Oubre,/players/o/oubreke01.html,2016,2018,University of Kansas,true
Bo Outlaw,/players/o/outlabo01.html,1994,2008,"South Plains College, University of Houston",false
Travis Outlaw,/players/o/outlatr01.html,2004,2014,,false
Doug Overton,/players/o/overtdo01.html,1993,2004,La Salle University,false
Andre Owens,/players/o/owensan01.html,2006,2008,"Indiana University, University of Houston",false
Billy Owens,/players/o/owensbi01.html,1992,2001,Syracuse University,false
Chris Owens,/players/o/owensch01.html,2003,2003,"Tulane University, University of Texas at Austin",false
Eddie Owens,/players/o/owensed01.html,1978,1978,"University of Nevada, Las Vegas",false
Keith Owens,/players/o/owenske01.html,1992,1992,"University of California, Los Angeles",false
Larry Owens,/players/o/owensla01.html,2011,2012,Oral Roberts University,false
Tom Owens,/players/o/owensto01.html,1972,1983,University of South Carolina,false
Ray Owes,/players/o/owesra01.html,1997,1997,University of Arizona,false
Olumide Oyedeji,/players/o/oyedeol01.html,2001,2003,,false
Joe Pace,/players/p/pacejo01.html,1977,1978,Coppin State University,false
Zaza Pachulia,/players/p/pachuza01.html,2004,2018,,true
Robert Pack,/players/p/packro01.html,1992,2004,University of Southern California,false
Gerald Paddio,/players/p/paddige01.html,1991,1994,"University of Nevada, Las Vegas",false
Scott Padgett,/players/p/padgesc01.html,2000,2007,University of Kentucky,false
Marcus Paige,/players/p/paigema01.html,2018,2018,University of North Carolina,true
Milt Palacio,/players/p/palacmi01.html,2000,2006,"Midland College, Colorado State University",false
Walter Palmer,/players/p/palmewa01.html,1991,1993,Dartmouth College,false
Andy Panko,/players/p/pankoan01.html,2001,2001,Lebanon Valley College,false
Georgios Papagiannis,/players/p/papagge01.html,2017,2018,,true
Kostas Papanikolaou,/players/p/papanko01.html,2015,2016,,false
Jannero Pargo,/players/p/pargoja01.html,2003,2015,University of Arkansas,false
Jeremy Pargo,/players/p/pargoje01.html,2012,2013,Gonzaga University,false
Robert Parish,/players/p/parisro01.html,1977,1997,Centenary College of Louisiana,false
Anthony Parker,/players/p/parkean01.html,1998,2012,Bradley University,false
Jabari Parker,/players/p/parkeja01.html,2015,2018,Duke University,true
Smush Parker,/players/p/parkesm01.html,2003,2008,Fordham University,false
Sonny Parker,/players/p/parkeso01.html,1977,1982,Texas A&M University,false
Tony Parker,/players/p/parketo01.html,2002,2018,,true
Cherokee Parks,/players/p/parksch02.html,1996,2004,Duke University,false
Chandler Parsons,/players/p/parsoch01.html,2012,2018,University of Florida,true
Zarko Paspalj,/players/p/paspaza01.html,1990,1990,,false
Myles Patrick,/players/p/patrimy01.html,1981,1981,Auburn University,false
Andrae Patterson,/players/p/pattean01.html,1999,2000,Indiana University,false
Lamar Patterson,/players/p/pattela01.html,2016,2017,University of Pittsburgh,true
Patrick Patterson,/players/p/pattepa01.html,2011,2018,University of Kentucky,true
Ruben Patterson,/players/p/patteru01.html,1999,2008,University of Cincinnati,false
Justin Patton,/players/p/pattoju01.html,2018,2018,Creighton University,true
Brandon Paul,/players/p/paulbr01.html,2018,2018,University of Illinois at Urbana-Champaign,true
Chris Paul,/players/p/paulch01.html,2006,2018,Wake Forest University,true
Billy Paultz,/players/p/paultbi01.html,1971,1985,"Cameron University, St. John's University",false
Sasha Pavlovic,/players/p/pavloal01.html,2004,2013,,false
Jim Paxson,/players/p/paxsoji02.html,1980,1990,University of Dayton,false
John Paxson,/players/p/paxsojo01.html,1984,1994,University of Notre Dame,false
Adreian Payne,/players/p/paynead01.html,2015,2018,Michigan State University,true
Cameron Payne,/players/p/payneca01.html,2016,2018,Murray State University,true
Kenny Payne,/players/p/payneke01.html,1990,1993,University of Louisville,false
Elfrid Payton,/players/p/paytoel01.html,2015,2018,University of Louisiana at Lafayette,true
Gary Payton,/players/p/paytoga01.html,1991,2007,Oregon State University,false
Gary Payton,/players/p/paytoga02.html,2017,2018,Oregon State University,true
Oleksiy Pecherov,/players/p/pecheol01.html,2008,2010,,false
Wiley Peck,/players/p/peckwi01.html,1980,1980,Mississippi State University,false
Anthony Peeler,/players/p/peelean01.html,1993,2005,University of Missouri,false
Nikola Pekovic,/players/p/pekovni01.html,2011,2016,,false
Sam Pellom,/players/p/pellosa01.html,1980,1983,"University at Buffalo, State University of New York",false
Mike Penberthy,/players/p/penbemi01.html,2001,2002,Master's College,false
Desmond Penigar,/players/p/penigde01.html,2004,2004,Utah State University,false
Kirk Penney,/players/p/penneki01.html,2004,2005,University of Wisconsin,false
Mike Peplowski,/players/p/peplomi01.html,1994,1996,Michigan State University,false
Will Perdue,/players/p/perduwi01.html,1989,2001,Vanderbilt University,false
Kendrick Perkins,/players/p/perkike01.html,2004,2016,,true
Sam Perkins,/players/p/perkisa01.html,1985,2001,University of North Carolina,false
Kosta Perovic,/players/p/perovko01.html,2008,2008,,false
London Perrantes,/players/p/perralo01.html,2018,2018,University of Virginia,true
Curtis Perry,/players/p/perrycu01.html,1971,1978,Missouri State University,false
Elliot Perry,/players/p/perryel01.html,1992,2002,University of Memphis,false
Tim Perry,/players/p/perryti01.html,1989,1996,Temple University,false
Chuck Person,/players/p/persoch01.html,1987,2000,Auburn University,false
Wesley Person,/players/p/persowe01.html,1995,2005,Auburn University,false
Alec Peters,/players/p/peteral01.html,2018,2018,Valparaiso University,true
Jim Petersen,/players/p/peterji01.html,1985,1992,University of Minnesota,false
Morris Peterson,/players/p/petermo01.html,2001,2011,Michigan State University,false
Johan Petro,/players/p/petrojo01.html,2006,2013,,false
Drazen Petrovic,/players/p/petrodr01.html,1990,1993,,false
Richard Petruska,/players/p/petruri01.html,1994,1994,"Loyola Marymount University, University of California, Los Angeles",false
Roger Phegley,/players/p/pheglro01.html,1979,1984,Bradley University,false
Derrick Phelps,/players/p/phelpde01.html,1995,1995,University of North Carolina,false
Michael Phelps,/players/p/phelpmi01.html,1986,1988,Alcorn State University,false
Eddie Phillips,/players/p/philled01.html,1983,1983,University of Alabama,false
Bobby Phills,/players/p/phillbo01.html,1992,2000,Southern University and A&M College,false
Eric Piatkowski,/players/p/piatker01.html,1995,2008,University of Nebraska,false
Paul Pierce,/players/p/piercpa01.html,1999,2017,University of Kansas,false
Ricky Pierce,/players/p/piercri01.html,1983,1998,Rice University,false
Stan Pietkiewicz,/players/p/pietkst01.html,1979,1981,Auburn University,false
Mickael Pietrus,/players/p/pietrmi01.html,2004,2013,,false
Ed Pinckney,/players/p/pincked01.html,1986,1997,Villanova University,false
Kevinn Pinkney,/players/p/pinknke01.html,2007,2007,"University of Nevada, Reno",false
John Pinone,/players/p/pinonjo01.html,1984,1984,Villanova University,false
Tom Piotrowski,/players/p/piotrto01.html,1984,1984,La Salle University,false
Scottie Pippen,/players/p/pippesc01.html,1988,2004,University of Central Arkansas,false
Charles Pittman,/players/p/pittmch01.html,1983,1986,University of Maryland,false
Dexter Pittman,/players/p/pittmde01.html,2011,2014,University of Texas at Austin,false
Zoran Planinic,/players/p/planizo01.html,2004,2006,,false
Tibor Pleiss,/players/p/pleisti01.html,2016,2016,,false
Marshall Plumlee,/players/p/plumlma02.html,2017,2018,Duke University,true
Mason Plumlee,/players/p/plumlma01.html,2014,2018,Duke University,true
Miles Plumlee,/players/p/plumlmi01.html,2013,2018,Duke University,true
Gary Plummer,/players/p/plummga01.html,1985,1993,Boston University,false
Pavel Podkolzin,/players/p/podkopa01.html,2005,2006,,false
Jakob Poeltl,/players/p/poeltja01.html,2017,2018,University of Utah,true
Dwayne Polee,/players/p/poleedw01.html,1987,1987,"University of Nevada, Las Vegas, Pepperdine University",false
Scot Pollard,/players/p/pollasc01.html,1998,2008,University of Kansas,false
Olden Polynice,/players/p/polynol01.html,1988,2004,University of Virginia,false
Cliff Pondexter,/players/p/pondecl01.html,1976,1978,"California State University, Long Beach",false
Quincy Pondexter,/players/p/pondequ01.html,2011,2018,University of Washington,true
David Pope,/players/p/popeda01.html,1985,1986,Norfolk State University,false
Mark Pope,/players/p/popema01.html,1998,2005,"University of Washington, University of Kentucky",false
Dave Popson,/players/p/popsoda01.html,1989,1992,University of North Carolina,false
Ben Poquette,/players/p/poquebe01.html,1978,1987,Central Michigan University,false
Chris Porter,/players/p/portech01.html,2001,2001,Auburn University,false
Howard Porter,/players/p/porteho01.html,1972,1978,Villanova University,false
Kevin Porter,/players/p/porteke01.html,1973,1983,Saint Francis University,false
Otto Porter,/players/p/porteot01.html,2014,2018,Georgetown University,true
Terry Porter,/players/p/portete01.html,1986,2002,University of Wisconsin-Stevens Point,false
Bobby Portis,/players/p/portibo01.html,2016,2018,University of Arkansas,true
Kristaps Porzingis,/players/p/porzikr01.html,2016,2018,,true
James Posey,/players/p/poseyja01.html,2000,2011,Xavier University,false
Lavor Postell,/players/p/postela01.html,2001,2003,St. John's University,false
Vitaly Potapenko,/players/p/potapvi01.html,1997,2007,Wright State University,false
Leon Powe,/players/p/powele01.html,2007,2011,University of California,false
Dwight Powell,/players/p/poweldw01.html,2015,2018,Stanford University,true
Josh Powell,/players/p/poweljo01.html,2006,2014,North Carolina State University,false
Kasib Powell,/players/p/powelka01.html,2008,2008,Texas Tech University,false
Norman Powell,/players/p/powelno01.html,2016,2018,"University of California, Los Angeles",true
Roger Powell,/players/p/powelro01.html,2007,2007,University of Illinois at Urbana-Champaign,false
Alex Poythress,/players/p/poythal01.html,2017,2018,University of Kentucky,true
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false
Phil Pressey,/players/p/pressph01.html,2014,2016,University of Missouri,true
Dominic Pressley,/players/p/pressdo01.html,1989,1989,Boston College,false
